restaurant_id,name,cuisine,location,price_range,rating,num_reviews,delivery_time,is_open,description,comfort_level,energy_level,social_intimacy,adventure_factor,stress_relief,romance_factor
1,"Kennedy, Santana and Flynn Restaurant",Mexican,"1796 Johnson Land
South Sean, IA 48038",$$,3.5,563,43,False,"National owner simply who family concern radio cost. Same budget American evidence. Candidate once effort form report.
Child follow anything. Past product make of group six fish detail.",0.39624201890265875,0.7582384757040913,0.6960206180537922,0.15389590633985506,0.8158331249906178,0.22444057183666066
2,Hopkins LLC Restaurant,Indian,"506 Lopez Crossing Suite 139
North Kristinbury, DC 74501",$,3.8,434,52,True,Protect knowledge toward party.,0.22381761482262308,0.5369744228934136,0.5929399348417032,0.5800862078378112,0.09148683739775487,0.8774608626303804
3,"Beck, Harvey and Davis Restaurant",French,"335 Kristina Ranch
West Micheleberg, DC 71308",$$$$,4.1,622,47,True,"Stock these scientist itself stage authority rather. Learn forward beautiful.
Some newspaper offer direction.
Hold picture item admit pull movement. As second animal summer group me face rate.",0.26560004258870606,0.12951492128280417,0.8887480798689772,0.9556514982297534,0.8621276172654506,0.8095160747248781
4,Chambers and Sons Restaurant,Japanese,"02053 Smith Greens
East Judyhaven, DE 98236",$$$$,4.5,527,51,True,Natural be decide scientist rise deep town. Central contain pattern education boy provide note. Surface usually yes.,0.6552419806390217,0.5508573706091393,0.08698675991141014,0.4084532130706987,0.372688517012314,0.2597537837603262
5,Hernandez Inc Restaurant,French,"8917 Sonia Cape Suite 700
Boonechester, TX 14651",$$$$,4.5,701,41,True,"Everybody growth quickly former lose knowledge. Main board population bank exactly.
Cultural safe phone road throughout support place. Often shoulder defense already end thus music president.",0.7234201136885849,0.4958757350787708,0.08104621590764793,0.22018320194981134,0.6832587636595959,0.07613085949030018
6,Riggs PLC Restaurant,Italian,"15921 Joshua Roads Suite 698
Shawnchester, CT 92484",$$$,4.6,291,47,True,Serious cell city not. Process whose save low grow despite maintain. Enough doctor protect military. Hold truth thing always possible billion.,0.8512069140487687,0.4951465270139743,0.480586577326648,0.5924077846595176,0.8246809659251492,0.34780920790219305
7,Gibson Ltd Restaurant,French,"7365 Ross Stream
West Ronaldview, MN 20507",$$$$,4.5,329,18,True,"Close baby poor deep cost gun. Produce increase form box.
Decision claim street against amount of claim. Mention three chair coach two might if wide. These road start.",0.6780161525590636,0.5657319639957911,0.2670282701694213,0.878629986355158,0.7974260216069281,0.6584518346584255
8,"Lee, Horton and Snyder Restaurant",Indian,"11161 Cain Point Apt. 988
Elizabethchester, MI 87708",$$$$,4.4,747,36,True,Attention her car admit mission training range step. Benefit live pass although six me brother lot. Top much ability visit. Miss have analysis morning director sort.,0.8505817290942419,0.8672942009598024,0.7083629767150348,0.837013328363672,0.6974714616692836,0.6801407717603004
9,Hernandez Ltd Restaurant,Italian,"USCGC Parrish
FPO AP 07244",$$$$,3.5,452,16,True,"Impact blood international one end movie. Hand every quite sense including six lot.
Never effect fill general relationship save talk. Security land record class. Meet skill song pass range.",0.6186113782151843,0.7527166395576412,0.1586051052930737,0.8808707591989284,0.871843527745232,0.029247283034559146
10,Stafford Inc Restaurant,French,"Unit 9451 Box 9832
DPO AP 63702",$$,3.8,961,24,True,Itself ask develop bag also his worker pass. Expert white arm similar compare manager action. Experience almost outside middle discuss college already.,0.8258167505647627,0.1288698674734452,0.3351188542591419,0.7435082562916078,0.1607598960483082,0.8179670241190622
11,Robinson-Brock Restaurant,Indian,"8514 Lindsay Vista
New Sarahview, AK 24148",$$$,4.0,324,19,True,"Expect stop trip give white everybody paper. Lawyer identify above company media.
Me future bring message. Then spend offer reason whom. Low during fund simply race to television.",0.8321341779577419,0.5074677337608362,0.00638587171683358,0.2870381331749128,0.6169269183757422,0.9811861780274235
12,"Holmes, Williams and Wright Restaurant",Japanese,"5022 Jones Streets Apt. 183
Barnesmouth, GA 49004",$$$$,3.2,886,24,False,Finish despite off consumer second us couple. Dog drug enter director strong.,0.6318135270166684,0.2598035810641598,0.6340057030996114,0.5399853797158555,0.7798453951511436,0.10698063882695841
13,Bryant Group Restaurant,French,"910 Eric River Apt. 147
Tuckermouth, MT 36305",$,4.1,975,47,True,With recently least ready activity decision ok. Gun technology cost enjoy especially when.,0.761027902502028,0.5412665786761103,0.9629920038589946,0.3418721660386861,0.6326218931339481,0.9320281055100175
14,"Schmidt, Hansen and Stewart Restaurant",Indian,"6149 Rose Inlet
East Randallton, AL 27295",$,3.9,750,52,True,Care throw piece move firm main economy. Answer between clear democratic effect stuff benefit. Employee growth newspaper special general in.,0.10250972799067926,0.9372284872364511,0.6878857223008134,0.0678370591051719,0.30096356694681625,0.7081720886452816
15,Salazar-Ball Restaurant,Mexican,"44510 Burgess Extensions
South Amanda, IN 66071",$,4.6,386,27,False,"President report painting house thought sit. Security minute late cold take by. Product wait red bag cold.
As these nature ago. Model you billion peace base use.",0.0673506014687717,0.5821704601762733,0.34588305695295674,0.6209155177674771,0.04574203381251285,0.8715368061523763
16,"Simmons, Meadows and Griffin Restaurant",Greek,"60607 Michelle Ports Suite 966
Dariustown, MD 23028",$$$,5.0,298,45,True,"Lead see theory itself policy move training loss. Source kind hand employee field. Model serve carry. Light across two water local.
Something others someone nature country think.",0.9734889691773969,0.9688778552856915,0.7496518317429247,0.13008624013063197,0.7582631959290226,0.02458691645880151
17,Manning Group Restaurant,Mexican,"516 John Radial Suite 816
Juliebury, MA 22538",$$$,4.1,446,50,False,Could affect anyone movement control bill especially. Road do character management game find. Your less social form such weight argue. Author like court success stage stock.,0.022123551528997254,0.32361021914954125,0.48864319040466575,0.7704074178077932,0.6832953766065052,0.44590270637674834
18,Green-Wright Restaurant,Greek,"835 Luna Viaduct
East Curtis, KS 26357",$,3.6,671,59,True,City rock seat near business loss. Cup thought tell design both.,0.2736266662816659,0.9971245001577111,0.42618130223597295,0.4513870243296755,0.16362382119166918,0.7948095487499294
