user_id,restaurant_id,rating,timestamp,order_type,party_size,wait_time,occasion
843,426,1.3,2024-09-14 17:10:22.905868,Delivery,6,45,Casual
1049,345,1.9,2024-05-07 21:49:25.427114,Delivery,6,33,Business
233,126,1.4,2025-02-14 07:40:44.167413,Dine-in,3,60,Celebration
750,2896,2.2,2025-05-04 05:44:22.896818,Delivery,6,24,Business
1794,3221,1.7,2024-11-08 03:40:15.946135,Dine-in,5,44,Casual
448,3038,1.7,2025-06-24 15:19:32.798537,Dine-in,1,16,Casual
1788,2112,1.5,2024-08-14 09:58:11.234856,Delivery,6,53,Business
704,3559,1.0,2023-07-23 23:28:45.080480,Takeout,5,60,Date
945,3079,1.9,2025-02-15 10:35:56.303732,Takeout,2,45,Date
1922,2863,1.9,2023-11-27 22:13:19.529877,Dine-in,3,56,Date
1048,3660,1.9,2025-01-08 21:51:26.160205,Takeout,3,36,Family
1933,3618,1.4,2024-05-02 15:02:52.079141,Takeout,4,41,Family
98,4465,1.5,2025-07-02 14:58:27.398349,Takeout,7,50,Date
1121,3343,2.8,2025-04-16 01:27:55.490274,Takeout,4,34,Date
1443,674,1.3,2023-11-01 22:07:25.360310,Delivery,4,11,Business
510,2921,1.3,2024-10-06 10:13:14.954590,Dine-in,3,28,Casual
382,1681,1.4,2025-04-10 06:17:15.884886,Dine-in,4,38,Business
1500,3221,2.1,2024-01-30 18:46:32.522423,Takeout,2,8,Date
569,4603,1.7,2023-09-09 08:34:36.879014,Dine-in,4,57,Date
750,738,1.6,2024-06-03 11:52:25.164434,Takeout,7,21,Business
1660,94,1.9,2024-08-27 23:01:45.271265,Takeout,5,11,Business
344,1037,1.4,2024-11-29 02:42:30.559789,Delivery,3,39,Business
69,2264,1.6,2024-11-01 23:55:49.532832,Delivery,8,35,Family
1733,2011,1.5,2024-06-07 13:46:33.352288,Dine-in,6,41,Family
880,370,1.9,2024-11-08 14:46:46.399045,Dine-in,4,27,Family
947,3156,1.7,2023-08-06 11:39:28.218740,Dine-in,3,26,Family
1446,4509,1.7,2023-08-22 06:48:32.660853,Delivery,1,38,Celebration
1563,157,1.5,2024-06-01 19:44:06.076403,Takeout,1,8,Celebration
8,1372,1.9,2024-02-05 23:48:06.622730,Dine-in,2,5,Date
1065,2291,1.7,2023-08-16 03:04:13.978867,Dine-in,1,38,Business
573,1534,2.0,2025-04-28 06:02:27.139322,Delivery,2,38,Casual
36,4674,1.0,2024-01-09 22:27:53.941547,Takeout,5,12,Celebration
