restaurant_id,name,cuisine,location,city,price_range,rating,num_reviews,delivery_time,is_open,restaurant_type,description,phone,website,established_year,comfort_level,energy_level,social_intimacy,adventure_factor,stress_relief,romance_factor,avg_wait_time,capacity,parking_available,wheelchair_accessible,accepts_reservations,outdoor_seating,wifi_available,live_music,happy_hour
1,Miller-Singh Cafe,American,"501 Mason Walks, Portland, TX 17206",Portland,$$$,3.4,141,57,True,Seafood,"Front agree benefit something. Region whose environment knowledge personal tonight bank.
Total heart loss staff dream appear. Seven he how claim should position grow. Tend difference start loss.",+1-612-465-1012,https://duffy-lee.net/,1984,0.682,0.18,0.348,0.254,0.333,0.744,15,121,True,True,True,True,True,False,True
2,Leon LLC Cafe,Mexican,"841 Stephanie Viaduct Suite 614, Indianapolis, NM 17752",Indianapolis,$$$,4.7,1022,77,True,Buffet,"Center follow person history clear. Near blue stay window every.
Candidate can pay usually parent there share attorney. Respond front behavior. Focus support clear cultural conference report.
Dinner eat herself leg visit debate bill. Now wish oil fact.",900.491.1617x019,http://larson.org/,1963,0.36,0.462,0.562,0.694,0.191,0.652,8,181,False,True,True,False,True,False,True
3,Sims LLC Restaurant,Korean,"24940 Linda Mills, Houston, WI 31218",Houston,$,2.5,1979,65,False,Seafood,"Modern her young win. Simply indeed big pick people special such whatever. Worry Mrs money.
Specific employee especially yes expert officer question. Throughout travel what compare somebody write money. Onto shoulder recent a so avoid war.
Mean popular politics firm.",790-426-3128,https://chung.com/,1955,0.127,0.221,0.151,0.891,0.632,0.839,44,103,False,True,True,True,True,False,True
4,Morgan-Grant Cafe,German,"308 Jones Key Suite 090, Philadelphia, MN 33090",Philadelphia,$$$$,3.0,321,70,True,Food Truck,"Factor under probably break now for back. Oil might wrong car sell occur. Suffer focus fund receive although capital hospital.
Democratic choose boy past. Partner way year happen street. Purpose above allow piece. House mind himself.
Machine like stage size. Pm believe huge lot international.",607.494.0284,https://www.miller.com/,1984,0.961,0.284,0.546,0.082,0.922,0.237,17,60,False,True,True,True,True,True,False
5,"Davis, Nichols and Sullivan Restaurant",Lebanese,"676 Lisa Fall Apt. 003, Detroit, RI 56045",Detroit,$$$,3.3,243,45,True,Fast Casual,"Attorney successful character. Little report mission quality happy. Mother director single order firm weight guess.
Nearly my best drive quickly sound yeah. Pressure each recently former. Free measure air leave week activity. Let line remember well others perhaps build.",(281)574-7326x09845,http://lee.com/,1976,0.551,0.603,0.657,0.242,0.814,0.424,7,181,True,True,False,False,True,False,True
6,Richardson-Brown Cafe,Persian,"1636 Christopher Fields, Phoenix, MI 06822",Phoenix,$$$,2.9,1466,33,True,Bistro,"Especially oil against ball fact begin yourself. Onto she develop.
Go carry decide customer. Question level ten six rise yes great. Month sound ball mission. Doctor accept cultural town.
Painting rule cold. Late sea exist until church. Know majority smile act stuff boy staff later.",001-778-389-2120,http://www.jordan.net/,1984,0.158,0.26,0.559,0.403,0.294,0.918,17,131,True,True,True,False,True,True,True
7,"Carter, West and Sanders House",Korean,"0060 Nelson Groves Apt. 915, Seattle, KY 94361",Seattle,$$$,4.8,781,38,True,Buffet,"White choice day third commercial once together scientist. Fish out Democrat large sense other.
North manager risk mind table major. Sense herself forward ever three likely choose. Choice generation perhaps trouble product final it such.",+1-615-910-5209x5796,https://www.elliott.biz/,1970,0.383,0.693,0.249,0.683,0.185,0.998,44,82,True,True,False,True,True,True,False
8,Ward-Bell Grill,American,"5964 James Ridge, Baltimore, DC 02421",Baltimore,$,3.0,1214,39,True,Food Truck,"Yes many reason almost group event officer. All around peace area this expect. Anything pay fish might.
Page bag seat today little represent. Mean position staff worker player performance.
Development city partner life position. Imagine country evening garden. Center country guy people she up.",9339171708,https://www.wood-sparks.com/,1953,0.716,0.777,0.638,0.251,0.605,0.768,17,199,True,True,False,False,False,False,True
9,Davies Inc Kitchen,Thai,"325 Vanessa Highway, Tucson, WA 42568",Tucson,$$,4.2,749,90,True,Farm-to-Table,"Up policy large keep customer without interview. Health recently least music officer here citizen coach.
Baby news identify part.
Pay learn want player leg poor trade. Score able stuff eat.
Military unit above better film character everybody keep. Bill relationship radio.",001-961-569-6860x398,https://miles.com/,1966,0.587,0.878,0.073,0.339,0.113,0.831,33,145,True,True,True,False,True,False,False
10,Castillo-Clark Grill,French,"231 Grimes Burg, New York, NM 61167",New York,$,3.6,80,57,True,Family Restaurant,"Other like toward staff blood. Sort star series real admit. Sister step break. Paper suffer member young.
Indicate I final reflect.
Hour I phone process cause usually from. Late data summer who report picture between.
Per reduce already movement piece. Like medical fish agency.",2244277018,http://wong.com/,2017,0.465,0.245,0.03,0.002,0.559,0.564,39,39,False,True,False,False,True,True,True
11,Combs Group Cafe,Greek,"0322 Williams Glen, Boston, IL 80641",Boston,$$$,4.4,85,88,False,Sports Bar,"Ask card energy decision determine rock affect. Treatment million various look floor rich.
Modern executive tonight not campaign. Enjoy light teach fear road article. Carry learn their most.
Particularly street marriage interview since with. Simple wall modern option away increase.",209.447.2449x7937,http://www.bush.com/,1985,0.873,0.54,0.28,0.101,0.399,0.648,36,43,False,True,True,False,True,False,True
12,Kim-Hunter House,Spanish,"25008 Edwin Prairie, Washington, NC 57836",Washington,$$$,4.7,38,45,False,Fine Dining,"Treat modern message. Will finish all turn join. Air most to word political role.
Try position that attack. Onto leave event plan establish billion property real. According determine worry according.
Trial member without from military anything some. Color material successful or get amount window.",(696)791-1212x628,http://www.vasquez.com/,1961,0.922,0.593,0.625,0.752,0.685,0.487,6,50,True,False,True,False,True,False,False
13,Conner-Dixon Kitchen,Peruvian,"2612 Farrell Pine Apt. 895, Baltimore, PW 52518",Baltimore,$$$$,3.6,1561,55,True,Buffet,"Hit animal cause very course factor. Discuss catch past world public generation believe. Center both spring perform green adult force. Center ball strategy sea alone word.
Data walk star nature human pull participant. Stay offer sell modern.",+1-309-432-8508x5733,https://www.wood-hunter.com/,1960,0.52,0.364,0.716,0.636,0.901,0.94,6,44,True,False,True,True,True,False,True
14,Ward-Jones Bistro,Russian,"54655 Shane Loop, San Diego, LA 50572",San Diego,$,3.4,1570,83,True,Seafood,"Record clear meeting team. Too once political radio for benefit. Audience to floor.
Cultural enjoy agree per without anyone. Bed how beyond economic student fund. Involve simply than place none new color.",310-430-2881x12403,http://roberts.com/,2020,0.581,0.702,0.132,0.851,0.07,0.956,32,120,True,False,False,True,False,False,False
15,Wilson Ltd Cafe,Peruvian,"574 Reese Road, Nashville, WA 25820",Nashville,$,2.9,489,19,True,Farm-to-Table,"Space else financial understand. Chance magazine skin base five.
Test onto responsibility her Mr view. Former threat assume use dream. Policy enjoy per rich.
On manager information size product southern. Pattern network score many image court cold. Other group rule common fact.",585.456.9115,http://lopez.com/,1955,0.018,0.801,0.525,0.856,0.537,0.868,16,76,True,True,True,True,False,True,True
16,Mendoza-Hughes Restaurant,German,"365 Mann Roads Suite 065, San Antonio, OK 81823",San Antonio,$,4.9,270,66,True,Fast Casual,"Knowledge help character surface several. Degree southern budget public. Then assume should between everybody authority part.
Store day country practice production.
Live election whom garden indicate hospital sport partner. His think identify tonight charge.",+1-818-388-2405x02382,http://www.salinas.com/,1967,0.541,0.296,0.703,0.561,0.209,0.416,30,51,False,True,True,False,True,False,False
17,Marks PLC Restaurant,Peruvian,"582 James Glen Suite 452, Indianapolis, IA 21666",Indianapolis,$,3.9,1722,16,True,Steakhouse,"Teach agent financial factor goal poor. Notice may box upon provide.
Table paper brother cell garden should camera. Send far over trade green economy company should. Form likely off.
Quite from glass contain professional. Tell yet including goal. Day visit single soldier morning already.",+1-675-998-5313x34019,https://www.bell.net/,1990,0.266,0.195,0.977,0.312,0.048,0.018,43,164,False,True,True,False,True,False,True
18,Murphy and Sons House,Japanese,"43648 Herrera Turnpike Suite 721, Jacksonville, IN 87790",Jacksonville,$$$$,3.7,259,80,True,Bistro,"Their late end truth. Inside apply meeting mind agency continue. Serve see its recognize outside investment.
Cover city song sense time interesting threat. Character in argue star fill kid art Republican.
Meet answer off market. Ask anything anyone cover suggest stand.",6859161474,http://www.bennett.biz/,2009,0.807,0.485,0.787,0.649,0.594,0.599,18,152,True,True,False,False,True,False,True
